rowindex,Session,Subject,SubjectID,Timing,eventType,eventIndex,eventClicked,task,columnIndex,round,stateIndex,clueSeen,question,answer,error,tasktype,maxtask,mintask,tasktypeindex,taskchosen,cluesviewed,miliseconds,seconds,cluemath,cluews,clueboth,clueindex,maxtaskchosen,correct,wrong
106,2,6,135264567,1192,task,1,Task 6,6,2,51,1,verbal,,,,T,6,6,,0,1,5226,5.225999832,0,1,0,4,0,,
107,2,6,135264567,4034,trial,0,NEFI,,2,51,1,FINE,NEFI,FINE,,N,6,6,0,0,1,5226,5.225999832,0,0,0,,0,1,0
108,2,6,135264567,1272,task,1,Task 4,4,1,52,1,Totalling up,,,,T,4,4,,1,1,6982,6.981999874,1,0,0,14,1,,
109,2,6,135264567,5710,trial,0,79+79+79,,1,52,1,237,79+79+79,237,,7,4,4,1,1,1,6982,6.981999874,0,0,0,,1,1,0
110,2,6,135264567,573,task,1,Task 5,5,1,53,2,1 problem,,,,T,5,5,,0,1,4651,4.651000023,0,1,0,1,0,,
111,2,6,135264567,4078,trial,0,NDFI,,1,53,2,FIND,NDFI,FIND,,N,5,5,0,0,1,4651,4.651000023,0,0,0,,0,1,0
112,2,6,135264567,1808,task,1,Task 2,2,1,54,2,verbal,,,,T,2,2,,0,1,7022,7.021999836,0,1,0,4,0,,
113,2,6,135264567,5214,trial,0,LMFI,,1,54,2,FILM,LMFI,FILM,,L,2,2,0,0,1,7022,7.021999836,0,0,0,,0,1,0
114,2,6,135264567,1481,task,1,Task 2,2,1,55,1,Numerical,,,,T,2,2,,1,1,21363,21.36300087,1,0,0,13,1,,
115,2,6,135264567,19882,trial,0,77+96+62,,1,55,1,235,77+96+62,235,,7,2,2,1,1,1,21363,21.36300087,0,0,0,,1,1,0
116,2,6,135264567,563,task,1,Task 4,4,1,56,2,50 percent of previous players chose this task,,,,T,4,4,,0,1,4037,4.037000179,0,0,1,11,0,,
117,2,6,135264567,3474,trial,0,LLFI,,1,56,2,FILL,LLFI,FILL,,L,4,4,0,0,1,4037,4.037000179,0,0,0,,0,1,0
118,2,6,135264567,558,task,1,Task 4,4,1,57,1,Analytical skills,,,,T,4,4,,1,1,8230,8.229999542,1,0,0,22,1,,
119,2,6,135264567,7672,trial,0,99+65+70,,1,57,1,234,99+65+70,234,,9,4,4,1,1,1,8230,8.229999542,0,0,0,,1,1,0
120,2,6,135264567,478,task,1,Task 3,3,1,58,1,Might need paper & pencil to solve,,,,T,3,3,,1,1,5687,5.686999798,1,0,0,17,1,,
121,2,6,135264567,5209,trial,0,78+78+78,,1,58,1,234,78+78+78,234,,7,3,3,1,1,1,5687,5.686999798,0,0,0,,1,1,0
122,2,6,135264567,1480,task,1,Task 2,2,1,59,1,Might need paper & pencil to solve,,,,T,2,2,,1,1,5395,5.394999981,1,0,0,17,1,,
123,2,6,135264567,3915,trial,0,77+77+77,,1,59,1,231,77+77+77,231,,7,2,2,1,1,1,5395,5.394999981,0,0,0,,1,1,0
124,2,6,135264567,1837,task,1,Task 2,2,1,60,1,Totalling up,,,,T,2,2,,1,1,10576,10.57600021,1,0,0,14,1,,
125,2,6,135264567,8739,trial,0,92+62+76,,1,60,1,230,92+62+76,230,,9,2,2,1,1,1,10576,10.57600021,0,0,0,,1,1,0
